"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Cu65";"Cu_water";"Temp_water";"Sal_water"
"ID496";"99.6";"MAY";2023;2023-05-15;205;129.01;1.497482625;0.322878417;105.898665564;28.9625;14.1666666666667
"ID496";"101.9";"MAY";2023;2023-05-15;205;129.01;1.497482625;0.29094249;105.898665564;28.9625;14.1666666666667
"ID497";"74.7";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.145128955;105.898665564;28.9625;14.1666666666667
"ID497";"77";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.12307584;105.898665564;28.9625;14.1666666666667
"ID497";"79.2";"MAY";2023;2023-05-15;185;110.38;1.743312341;0.590709253;105.898665564;28.9625;14.1666666666667
"ID501";"81.5";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.023117672;89.782416224;30.0475;18.3333333333333
"ID501";"83.8";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.004585304;89.782416224;30.0475;18.3333333333333
"ID501";"86";"JUN";2023;2023-06-15;194;109.79;1.50368752;0.029759369;89.782416224;30.0475;18.3333333333333
"ID502";"70.2";"JUN";2023;2023-06-15;185;98.67;1.558367718;1.551632906;89.782416224;30.0475;18.3333333333333
"ID502";"72.4";"JUN";2023;2023-06-15;185;98.67;1.558367718;1.18574845;89.782416224;30.0475;18.3333333333333
"ID503";"61.1";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.030137983;89.782416224;30.0475;18.3333333333333
"ID503";"63.4";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.178987362;89.782416224;30.0475;18.3333333333333
"ID503";"65.6";"JUN";2023;2023-06-15;184;99.45;1.596435286;0.291389488;89.782416224;30.0475;18.3333333333333
"ID504";"79.2";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.534665999;89.782416224;30.0475;18.3333333333333
"ID504";"81.5";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.597131822;89.782416224;30.0475;18.3333333333333
"ID504";"83.8";"JUN";2023;2023-06-15;184;87.88;1.410706214;0.720985465;89.782416224;30.0475;18.3333333333333
"ID506";"61.1";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.173365939;89.782416224;30.0475;18.3333333333333
"ID506";"63.4";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.268545092;89.782416224;30.0475;18.3333333333333
"ID506";"65.6";"JUN";2023;2023-06-15;181;89.65;1.511870417;0.027822932;89.782416224;30.0475;18.3333333333333
"ID508";"43";"JUN";2023;2023-06-15;165;66.77;1.486378941;0.402030023;89.782416224;30.0475;18.3333333333333
"ID508";"45.3";"JUN";2023;2023-06-15;165;66.77;1.486378941;0.335533394;89.782416224;30.0475;18.3333333333333
"ID508";"47.5";"JUN";2023;2023-06-15;165;66.77;1.486378941;1.143391725;89.782416224;30.0475;18.3333333333333
"ID509";"79.2";"JUN";2023;2023-06-15;200;112.52;1.4065;0.20572772;89.782416224;30.0475;18.3333333333333
"ID509";"81.5";"JUN";2023;2023-06-15;200;112.52;1.4065;0.341206711;89.782416224;30.0475;18.3333333333333
"ID509";"83.8";"JUN";2023;2023-06-15;200;112.52;1.4065;0.899473093;89.782416224;30.0475;18.3333333333333
"ID510";"54.3";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.228079454;89.782416224;30.0475;18.3333333333333
"ID510";"56.6";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.071559815;89.782416224;30.0475;18.3333333333333
"ID510";"58.9";"JUN";2023;2023-06-15;178;84.35;1.495633141;0.160294578;89.782416224;30.0475;18.3333333333333
"ID511";"79.2";"JUN";2023;2023-06-15;159;64.04;1.593162041;0.166212609;89.782416224;30.0475;18.3333333333333
"ID511";"81.5";"JUN";2023;2023-06-15;159;64.04;1.593162041;0.401133087;89.782416224;30.0475;18.3333333333333
"ID511";"83.8";"JUN";2023;2023-06-15;159;64.04;1.593162041;1.264465418;89.782416224;30.0475;18.3333333333333
"ID514";"63.4";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.059170815;89.782416224;30.0475;18.3333333333333
"ID514";"65.6";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.17863083;89.782416224;30.0475;18.3333333333333
"ID514";"67.9";"JUN";2023;2023-06-15;138;38.6;1.468757325;0.674906014;89.782416224;30.0475;18.3333333333333
