ID;Month;Sliding;Order;OrderS;Elapsed.Time;Time;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Sr87;Ba138;Sample;Temp;Sal;Mg24w;Ca43w;Mn55w;Cu65w;Zn66w;Sr88w;Ba138w;MgCa;MnCa;CuCa;ZnCa;SrCa;BaCa
ID121;AUG;JUL;2;1;63.38403296;63.4;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;260.9394831;1.20823771;0.255911762;0.507688335;2542.18029;40.45735487;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID173;AUG;JUL;2;1;81.49395704;81.5;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;264.2841664;0.346739372;0.114913031;1.100314956;2915.458733;9.616094887;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID173;AUG;JUL;2;1;83.75695801;83.8;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;263.4952823;0.336157582;0.55421191;1.604383229;3466.363188;9.711609227;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID173;AUG;JUL;2;1;86.02099586;86;2022;Juvenile;Late dry;Sao Mateus;197;115.45;1.510063669;284.631594;0.073430544;0.287957071;1.604383229;3673.525636;8.702491812;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID174;AUG;JUL;2;1;67.91113305;67.9;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;240.4107599;0.480016742;0.206195811;0.233599921;2978.283915;21.70566406;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID174;AUG;JUL;2;1;70.17407203;70.2;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;275.2354282;0.406727598;0.184168304;0.464293441;3561.409273;17.95617183;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID174;AUG;JUL;2;1;72.437989;72.4;2022;Juvenile;Late dry;Sao Mateus;185;91.11;1.43896709;252.3583298;1.067214912;0.064495387;0.035420689;3342.704328;11.72939149;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID044;SEP;AUG;3;2;63.38403416;63.4;2022;Juvenile;Late dry;Sao Mateus;190;101.78;1.48388978;306.8234768;0.216031338;0.212662785;0.698134793;2961.719649;14.86424917;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID044;SEP;AUG;3;2;65.64697313;65.6;2022;Juvenile;Late dry;Sao Mateus;190;101.78;1.48388978;268.3027485;0.670823743;0.023517287;0.38118564;2963.86335;9.990620402;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
ID044;SEP;AUG;3;2;67.91101098;67.9;2022;Juvenile;Late dry;Sao Mateus;190;101.78;1.48388978;274.0170292;0.480047282;2.013809422;0.330307175;3108.244898;10.31146832;A008;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
