ID;Elapsed.Time;Time;Month;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Ba138
ID070;58.85601807;58.9;OCT;2022;Juvenile;Early wet;Sao Mateus;180;80.87;1.386659808;222.0931689;0.648889412;0.208119312;0.268459431;5.679434366
ID070;61.11999488;61.1;OCT;2022;Juvenile;Early wet;Sao Mateus;180;80.87;1.386659808;233.1206769;0.520348436;0.114238756;0.389009701;5.347402954
ID070;63.38403296;63.4;OCT;2022;Juvenile;Early wet;Sao Mateus;180;80.87;1.386659808;227.6963427;0.830272903;0.032721087;0.268717856;5.186544923
ID072;79.23004079;79.2;AUG;2022;Juvenile;Late dry;Sao Mateus;190;119.96;1.748942995;205.1090189;0.891434012;0.319326032;0.612189126;9.203750446
ID072;81.49304199;81.5;AUG;2022;Juvenile;Late dry;Sao Mateus;190;119.96;1.748942995;205.1618694;0.182872959;3.183086309;0.420742599;8.303103499
ID072;83.7570188;83.8;AUG;2022;Juvenile;Late dry;Sao Mateus;190;119.96;1.748942995;210.1623722;1.520665091;0.202338319;0.076720192;6.922865769
ID073;70.17407298;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;182;100.45;1.666233175;256.5771776;1.045836779;0.026561654;0.268173251;8.408185856
ID073;72.43811107;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;182;100.45;1.666233175;254.4377086;0.481081247;0.161273807;0.379785507;7.125554084
ID073;74.70202708;74.7;AUG;2022;Juvenile;Late dry;Sao Mateus;182;100.45;1.666233175;240.0948759;0.260715713;0.175311949;0.114525782;6.241093828
ID074;81.49304199;81.5;AUG;2022;Juvenile;Late dry;Sao Mateus;178;98.82;1.752204707;231.0871699;0.364593628;0.135436875;0.11839668;6.146208177
ID074;83.75701904;83.8;AUG;2022;Juvenile;Late dry;Sao Mateus;178;98.82;1.752204707;240.0582661;0.624173405;0.102801461;0.485813456;5.470654483
ID074;86.02099609;86;AUG;2022;Juvenile;Late dry;Sao Mateus;178;98.82;1.752204707;260.6562872;0.889820572;0.063601453;1.099386939;5.322902761
ID075;72.43896508;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;182;108.24;1.795451258;196.1174209;2.081888693;0.113628898;0.319297272;6.284848274
ID075;74.70190406;74.7;AUG;2022;Juvenile;Late dry;Sao Mateus;182;108.24;1.795451258;201.4802324;2.221764735;0.077299612;0.176650133;4.972476166
ID075;76.96606398;77;AUG;2022;Juvenile;Late dry;Sao Mateus;182;108.24;1.795451258;212.096656;1.176998002;0.090496167;4.915156822;3.816297767
ID076;74.70196509;74.7;AUG;2022;Juvenile;Late dry;Sao Mateus;147;59.15;1.862098905;211.2051331;2.045045415;0.38994972;0.81867073;9.193528139
ID076;76.96496606;77;AUG;2022;Juvenile;Late dry;Sao Mateus;147;59.15;1.862098905;207.5142215;1.759284409;2.991429832;0.628949252;6.720257518
ID076;79.22900414;79.2;AUG;2022;Juvenile;Late dry;Sao Mateus;147;59.15;1.862098905;181.8394816;1.677748457;0.08678695;5.353116258;5.388859617
ID077;56.59204102;56.6;AUG;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;226.3112327;1.971232113;0.070185209;0.04890772;4.290217768
ID077;58.85595703;58.9;AUG;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;231.2737027;0.612259703;0.331677464;0.416514953;5.009730355
ID077;61.12011695;61.1;AUG;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;255.599838;0.034608811;0.374830298;1.30656761;4.130496248
ID078;67.91101098;67.9;AUG;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;283.1978045;0.964326709;0.14109516;0.227104068;6.826354428
ID078;70.174927;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;278.6517621;0.170368286;0.496642619;0.201157273;5.073119987
ID078;72.43896508;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;238.4703979;1.753989729;0.107349638;0.013201135;4.531320788
ID079;67.91101098;67.9;AUG;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;261.9993644;2.218059192;0.058337731;1.258648241;10.01216193
ID079;70.17504907;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;264.9152669;2.020928272;0.176923272;0.302261587;8.429831707
ID079;72.43798804;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;309.9201078;2.786254569;0.344874799;10.57464855;5.574975379
ID080;67.91088796;67.9;AUG;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;225.3348715;0.779960858;0.360537279;0.320407373;6.244989845
ID080;70.17492604;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;297.9330504;0.451899427;0.123713986;1.769452464;5.416412654
ID080;72.43798804;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;249.5022297;0.27976418;0.360537279;3.819412669;4.690894146
ID081;63.3840332;63.4;AUG;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;271.5725756;0.961024358;0.083718161;0.281402976;14.57259872
ID081;65.64794922;65.6;AUG;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;280.5134885;0.355114434;0.21991131;0.114755739;8.284759809
ID081;67.91088915;67.9;AUG;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;251.3525035;0.533255318;0.062872798;0.396108629;5.88558579
ID082;70.174927;70.2;AUG;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;200.5219024;0.38964092;0.176500862;0.634470404;8.828238793
ID082;72.437989;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;196.501693;0.062057014;0.453034174;0.148988651;7.672192914
ID082;74.70202708;74.7;AUG;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;200.4946469;0.729047967;0.39179251;5.195080777;4.798166152
ID083;72.4379878;72.4;AUG;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;201.0334457;1.356472287;3.385829195;0.052788105;3.627314314
ID083;74.70202589;74.7;AUG;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;209.045041;0.849098821;0.105730369;0.261408451;2.659624814
ID083;76.96600389;77;AUG;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;211.4553438;1.121061931;0.099238232;0.214474286;2.535995897
ID121;58.85595679;58.9;AUG;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;267.37839;1.134167971;0.255911762;0.447613707;23.13783493
ID121;61.11987281;61.1;AUG;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;258.9818796;1.132578858;0.125442706;0.3241005;26.07695435
ID121;63.38403296;63.4;AUG;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;260.9394831;1.20823771;0.255911762;0.507688335;40.45735487
