"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Ba138";"Ba_water";"Temp_water";"Sal_water"
"ID322";"88.3";"MAR";2023;2023-03-15;226;187.93;1.628061462;39.71244042;10972.97348675;24.59;10.2857142857143
"ID323";"74.7";"MAR";2023;2023-03-15;197;151.43;1.980675109;68.32745243;10972.97348675;24.59;10.2857142857143
"ID323";"77";"MAR";2023;2023-03-15;197;151.43;1.980675109;76.3729232;10972.97348675;24.59;10.2857142857143
"ID323";"79.2";"MAR";2023;2023-03-15;197;151.43;1.980675109;89.65143274;10972.97348675;24.59;10.2857142857143
"ID324";"70.2";"MAR";2023;2023-03-15;190;122.99;1.79311853;58.08494668;10972.97348675;24.59;10.2857142857143
"ID324";"72.4";"MAR";2023;2023-03-15;190;122.99;1.79311853;103.1904999;10972.97348675;24.59;10.2857142857143
"ID324";"74.7";"MAR";2023;2023-03-15;190;122.99;1.79311853;142.7121354;10972.97348675;24.59;10.2857142857143
"ID326";"88.3";"MAR";2023;2023-03-15;200;137.53;1.719125;35.96331506;10972.97348675;24.59;10.2857142857143
"ID326";"90.5";"MAR";2023;2023-03-15;200;137.53;1.719125;69.92007712;10972.97348675;24.59;10.2857142857143
"ID326";"92.8";"MAR";2023;2023-03-15;200;137.53;1.719125;109.6867147;10972.97348675;24.59;10.2857142857143
"ID327";"67.9";"MAR";2023;2023-03-15;190;112.58;1.641347135;19.65901838;10972.97348675;24.59;10.2857142857143
"ID327";"70.2";"MAR";2023;2023-03-15;190;112.58;1.641347135;20.71197346;10972.97348675;24.59;10.2857142857143
"ID327";"72.4";"MAR";2023;2023-03-15;190;112.58;1.641347135;34.57872266;10972.97348675;24.59;10.2857142857143
"ID328";"83.8";"MAR";2023;2023-03-15;189;109.14;1.616584971;30.04184802;10972.97348675;24.59;10.2857142857143
"ID328";"86";"MAR";2023;2023-03-15;189;109.14;1.616584971;36.12144315;10972.97348675;24.59;10.2857142857143
"ID328";"88.3";"MAR";2023;2023-03-15;189;109.14;1.616584971;52.41451143;10972.97348675;24.59;10.2857142857143
"ID331";"70.2";"MAR";2023;2023-03-15;177;101.88;1.837253728;58.5198798;10972.97348675;24.59;10.2857142857143
"ID331";"72.4";"MAR";2023;2023-03-15;177;101.88;1.837253728;87.11741551;10972.97348675;24.59;10.2857142857143
"ID331";"74.7";"MAR";2023;2023-03-15;177;101.88;1.837253728;161.8992124;10972.97348675;24.59;10.2857142857143
"ID333";"90.5";"MAR";2023;2023-03-15;212;148.74;1.561062152;37.3620841;10972.97348675;24.59;10.2857142857143
"ID333";"92.8";"MAR";2023;2023-03-15;212;148.74;1.561062152;55.13266621;10972.97348675;24.59;10.2857142857143
"ID333";"95.1";"MAR";2023;2023-03-15;212;148.74;1.561062152;83.74185951;10972.97348675;24.59;10.2857142857143
"ID335";"65.6";"MAR";2023;2023-03-15;181;98.22;1.656396123;50.84882361;10972.97348675;24.59;10.2857142857143
"ID335";"67.9";"MAR";2023;2023-03-15;181;98.22;1.656396123;57.8674671;10972.97348675;24.59;10.2857142857143
"ID335";"70.2";"MAR";2023;2023-03-15;181;98.22;1.656396123;73.68974381;10972.97348675;24.59;10.2857142857143
"ID336";"81.5";"MAR";2023;2023-03-15;160;66.79;1.630615234;15.97967175;10972.97348675;24.59;10.2857142857143
"ID336";"83.8";"MAR";2023;2023-03-15;160;66.79;1.630615234;20.66338086;10972.97348675;24.59;10.2857142857143
"ID336";"86";"MAR";2023;2023-03-15;160;66.79;1.630615234;28.01030873;10972.97348675;24.59;10.2857142857143
"ID374";"90.5";"APR";2023;2023-04-15;235;212.5;1.637402117;6.39182707;8286.91900775;28.88;12.2857142857143
